criterion,n_hours,num_matched_ecg,num_cxr_or_windows
criterion1,0,0,130751
criterion1,0,1,66852
criterion1,0,2,6456
criterion1,0,3,918
criterion1,0,4,187
criterion1,0,5,50
criterion1,0,6,11
criterion1,0,7,12
criterion1,0,8,3
criterion1,2,0,172365
criterion1,2,1,29353
criterion1,2,2,2929
criterion1,2,3,429
criterion1,2,4,118
criterion1,2,5,31
criterion1,2,6,6
criterion1,2,7,7
criterion1,2,8,2
criterion1,4,0,184961
criterion1,4,1,17716
criterion1,4,2,2036
criterion1,4,3,379
criterion1,4,4,104
criterion1,4,5,28
criterion1,4,6,6
criterion1,4,7,7
criterion1,4,8,2
criterion1,4,9,1
criterion1,6,0,187990
criterion1,6,1,14961
criterion1,6,2,1786
criterion1,6,3,357
criterion1,6,4,92
criterion1,6,5,38
criterion1,6,6,6
criterion1,6,7,5
criterion1,6,8,5
criterion1,8,0,188809
criterion1,8,1,14201
criterion1,8,2,1738
criterion1,8,3,342
criterion1,8,4,102
criterion1,8,5,30
criterion1,8,6,9
criterion1,8,7,4
criterion1,8,8,4
criterion1,8,11,1
criterion1,10,0,188910
criterion1,10,1,14135
criterion1,10,2,1712
criterion1,10,3,331
criterion1,10,4,102
criterion1,10,5,33
criterion1,10,6,7
criterion1,10,7,6
criterion1,10,8,3
criterion1,10,11,1
criterion1,12,0,188566
criterion1,12,1,14503
criterion1,12,2,1727
criterion1,12,3,304
criterion1,12,4,93
criterion1,12,5,33
criterion1,12,6,8
criterion1,12,7,4
criterion1,12,8,1
criterion1,12,11,1
criterion2_all_t1,0,0,46571
criterion2_all_t1,0,1,8269
criterion2_all_t1,0,2,1039
criterion2_all_t1,0,3,207
criterion2_all_t1,0,4,44
criterion2_all_t1,0,5,15
criterion2_all_t1,0,6,7
criterion2_all_t1,0,7,1
criterion2_all_t1,2,0,48803
criterion2_all_t1,2,1,6401
criterion2_all_t1,2,2,757
criterion2_all_t1,2,3,137
criterion2_all_t1,2,4,37
criterion2_all_t1,2,5,11
criterion2_all_t1,2,6,6
criterion2_all_t1,2,7,1
criterion2_all_t1,4,0,49478
criterion2_all_t1,4,1,5775
criterion2_all_t1,4,2,710
criterion2_all_t1,4,3,135
criterion2_all_t1,4,4,40
criterion2_all_t1,4,5,6
criterion2_all_t1,4,6,6
criterion2_all_t1,4,7,2
criterion2_all_t1,4,8,1
criterion2_all_t1,6,0,49993
criterion2_all_t1,6,1,5339
criterion2_all_t1,6,2,651
criterion2_all_t1,6,3,123
criterion2_all_t1,6,4,30
criterion2_all_t1,6,5,6
criterion2_all_t1,6,6,8
criterion2_all_t1,6,7,2
criterion2_all_t1,6,8,1
criterion2_all_t1,8,0,50575
criterion2_all_t1,8,1,4811
criterion2_all_t1,8,2,603
criterion2_all_t1,8,3,119
criterion2_all_t1,8,4,29
criterion2_all_t1,8,5,6
criterion2_all_t1,8,6,6
criterion2_all_t1,8,7,3
criterion2_all_t1,8,8,1
criterion2_all_t1,10,0,51183
criterion2_all_t1,10,1,4299
criterion2_all_t1,10,2,535
criterion2_all_t1,10,3,89
criterion2_all_t1,10,4,29
criterion2_all_t1,10,5,12
criterion2_all_t1,10,6,4
criterion2_all_t1,10,7,1
criterion2_all_t1,10,8,1
criterion2_all_t1,12,0,51852
criterion2_all_t1,12,1,3774
criterion2_all_t1,12,2,427
criterion2_all_t1,12,3,62
criterion2_all_t1,12,4,24
criterion2_all_t1,12,5,11
criterion2_all_t1,12,6,1
criterion2_all_t1,12,7,2
criterion2_earliest,0,0,35407
criterion2_earliest,0,1,6697
criterion2_earliest,0,2,879
criterion2_earliest,0,3,165
criterion2_earliest,0,4,38
criterion2_earliest,0,5,14
criterion2_earliest,0,6,6
criterion2_earliest,0,7,1
criterion2_earliest,2,0,37190
criterion2_earliest,2,1,5224
criterion2_earliest,2,2,631
criterion2_earliest,2,3,117
criterion2_earliest,2,4,30
criterion2_earliest,2,5,9
criterion2_earliest,2,6,5
criterion2_earliest,2,7,1
criterion2_earliest,4,0,37669
criterion2_earliest,4,1,4782
criterion2_earliest,4,2,590
criterion2_earliest,4,3,117
criterion2_earliest,4,4,35
criterion2_earliest,4,5,6
criterion2_earliest,4,6,5
criterion2_earliest,4,7,2
criterion2_earliest,4,8,1
criterion2_earliest,6,0,37987
criterion2_earliest,6,1,4513
criterion2_earliest,6,2,553
criterion2_earliest,6,3,109
criterion2_earliest,6,4,29
criterion2_earliest,6,5,6
criterion2_earliest,6,6,7
criterion2_earliest,6,7,2
criterion2_earliest,6,8,1
criterion2_earliest,8,0,38378
criterion2_earliest,8,1,4154
criterion2_earliest,8,2,525
criterion2_earliest,8,3,108
criterion2_earliest,8,4,27
criterion2_earliest,8,5,6
criterion2_earliest,8,6,5
criterion2_earliest,8,7,3
criterion2_earliest,8,8,1
criterion2_earliest,10,0,38795
criterion2_earliest,10,1,3799
criterion2_earliest,10,2,488
criterion2_earliest,10,3,80
criterion2_earliest,10,4,28
criterion2_earliest,10,5,11
criterion2_earliest,10,6,4
criterion2_earliest,10,7,1
criterion2_earliest,10,8,1
criterion2_earliest,12,0,39288
criterion2_earliest,12,1,3424
criterion2_earliest,12,2,402
criterion2_earliest,12,3,57
criterion2_earliest,12,4,22
criterion2_earliest,12,5,11
criterion2_earliest,12,6,1
criterion2_earliest,12,7,2
criterion2_nearest,0,0,36210
criterion2_nearest,0,1,6111
criterion2_nearest,0,2,720
criterion2_nearest,0,3,123
criterion2_nearest,0,4,30
criterion2_nearest,0,5,8
criterion2_nearest,0,6,4
criterion2_nearest,0,7,1
criterion2_nearest,2,0,38188
criterion2_nearest,2,1,4435
criterion2_nearest,2,2,472
criterion2_nearest,2,3,86
criterion2_nearest,2,4,20
criterion2_nearest,2,5,3
criterion2_nearest,2,6,2
criterion2_nearest,2,7,1
criterion2_nearest,4,0,38793
criterion2_nearest,4,1,3891
criterion2_nearest,4,2,423
criterion2_nearest,4,3,77
criterion2_nearest,4,4,17
criterion2_nearest,4,5,3
criterion2_nearest,4,6,2
criterion2_nearest,4,7,1
criterion2_nearest,6,0,39180
criterion2_nearest,6,1,3571
criterion2_nearest,6,2,370
criterion2_nearest,6,3,64
criterion2_nearest,6,4,12
criterion2_nearest,6,5,4
criterion2_nearest,6,6,4
criterion2_nearest,6,7,2
criterion2_nearest,8,0,39614
criterion2_nearest,8,1,3166
criterion2_nearest,8,2,348
criterion2_nearest,8,3,58
criterion2_nearest,8,4,11
criterion2_nearest,8,5,5
criterion2_nearest,8,6,2
criterion2_nearest,8,7,3
criterion2_nearest,10,0,40030
criterion2_nearest,10,1,2802
criterion2_nearest,10,2,314
criterion2_nearest,10,3,38
criterion2_nearest,10,4,14
criterion2_nearest,10,5,6
criterion2_nearest,10,6,2
criterion2_nearest,10,7,1
criterion2_nearest,12,0,40443
criterion2_nearest,12,1,2471
criterion2_nearest,12,2,247
criterion2_nearest,12,3,26
criterion2_nearest,12,4,14
criterion2_nearest,12,5,5
criterion2_nearest,12,7,1
